iter	Passed	Remaining
0	46	46742
1	47	23543
2	47	15776
3	47	11883
4	47	9544
5	48	7987
6	48	6868
7	48	6024
8	48	5369
9	49	4864
10	49	4434
11	49	4075
12	49	3773
13	49	3512
14	50	3285
15	50	3087
16	50	2912
17	50	2757
18	50	2617
19	50	2492
20	51	2378
21	51	2276
22	51	2182
23	51	2096
24	51	2016
25	51	1943
26	52	1876
27	52	1812
28	52	1753
29	52	1699
30	52	1649
31	52	1601
32	53	1556
33	53	1514
34	54	1497
35	54	1459
36	54	1421
37	54	1388
38	55	1356
39	55	1324
40	55	1295
41	55	1267
42	55	1241
43	55	1216
44	56	1205
45	56	1181
46	57	1159
47	57	1137
48	57	1117
49	58	1107
50	58	1089
51	58	1070
52	59	1065
53	61	1070
54	61	1054
55	61	1037
56	61	1020
57	61	1004
58	62	989
59	62	973
60	62	960
61	62	946
62	62	932
63	62	919
64	63	906
65	63	894
66	63	881
67	63	869
68	63	858
69	63	847
70	63	836
71	64	825
72	64	815
73	64	805
74	64	795
75	64	786
76	64	776
77	64	767
78	65	759
79	65	750
80	65	742
81	65	733
82	65	726
83	65	718
84	66	710
85	66	703
86	66	695
87	66	688
88	66	681
89	66	674
90	66	668
91	67	661
92	67	655
93	67	648
94	67	642
95	67	636
96	67	630
97	67	624
98	68	619
99	68	613
100	68	607
101	68	602
102	68	597
103	68	592
104	68	587
105	69	582
106	69	577
107	69	572
108	69	567
109	69	563
110	70	564
111	70	561
112	70	557
113	71	553
114	71	549
115	71	545
116	71	542
117	72	538
118	73	541
119	73	537
120	73	534
121	73	530
122	73	526
123	73	522
124	74	519
125	74	516
126	74	512
127	75	514
128	75	510
129	75	507
130	76	504
131	76	501
132	76	498
133	76	495
134	76	492
135	82	523
136	82	520
137	82	516
138	82	513
139	83	510
140	83	506
141	83	504
142	83	500
143	83	497
144	83	494
145	84	491
146	84	488
147	84	486
148	84	483
149	84	480
150	84	477
151	84	474
152	85	472
153	85	469
154	85	466
155	85	463
156	85	461
157	86	458
158	86	456
159	86	453
160	86	451
161	86	448
162	88	452
163	88	450
164	88	447
165	88	445
166	88	443
167	91	454
168	92	453
169	92	450
170	92	448
171	92	446
172	93	445
173	93	443
174	93	441
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	428
181	94	426
182	95	424
183	95	422
184	95	420
185	95	418
186	95	416
187	95	414
188	96	412
189	96	410
190	96	408
191	96	406
192	96	404
193	96	402
194	97	401
195	97	399
196	97	397
197	97	396
198	97	394
199	98	392
200	98	391
201	98	389
202	99	390
203	99	388
204	99	387
205	99	385
206	100	383
207	100	381
208	100	380
209	101	381
210	101	380
211	101	378
212	102	377
213	102	375
214	102	374
215	102	372
216	102	370
217	102	369
218	104	371
219	104	370
220	104	368
221	104	367
222	104	365
223	105	364
224	105	362
225	105	361
226	105	359
227	105	358
228	105	356
229	106	355
230	106	354
231	106	353
232	106	351
233	106	350
234	107	348
235	107	347
236	107	346
237	107	345
238	107	343
239	108	342
240	108	340
241	108	339
242	108	338
243	108	336
244	108	335
245	109	334
246	109	333
247	109	332
248	109	331
249	109	329
250	110	328
251	110	327
252	110	325
253	110	324
254	110	323
255	110	322
256	111	321
257	111	319
258	111	318
259	111	317
260	111	316
261	111	315
262	112	313
263	112	312
264	112	311
265	112	310
266	112	309
267	112	308
268	112	307
269	113	306
270	113	305
271	113	304
272	113	303
273	114	302
274	114	301
275	114	300
276	114	299
277	114	298
278	115	297
279	115	296
280	115	295
281	115	294
282	115	293
283	116	292
284	116	291
285	116	290
286	116	289
287	116	288
288	117	287
289	117	287
290	118	288
291	119	290
292	120	289
293	120	288
294	120	288
295	120	287
296	120	286
297	121	285
298	121	284
299	121	283
300	121	282
301	121	281
302	121	280
303	122	280
304	122	279
305	123	280
306	123	279
307	123	278
308	124	277
309	124	276
310	124	275
311	124	275
312	124	274
313	125	273
314	125	272
315	125	271
316	125	270
317	125	269
318	125	268
319	126	267
320	126	266
321	126	266
322	126	265
323	126	264
324	126	263
325	127	262
326	127	261
327	127	260
328	127	260
329	127	259
330	128	259
331	128	258
332	128	257
333	128	256
334	128	255
335	129	255
336	129	254
337	129	253
338	129	252
339	129	251
340	129	251
341	130	250
342	130	249
343	130	248
344	130	248
345	130	247
346	130	246
347	131	245
348	131	244
349	131	244
350	131	243
351	131	242
352	132	241
353	132	241
354	132	240
355	133	240
356	133	240
357	133	239
358	133	238
359	133	237
360	134	237
361	134	236
362	134	235
363	134	235
364	134	234
365	134	233
366	134	232
367	135	232
368	135	231
369	135	230
370	135	230
371	135	229
372	136	228
373	136	228
374	136	227
375	136	226
376	136	226
377	137	225
378	137	224
379	137	224
380	137	223
381	137	222
382	137	222
383	138	221
384	138	220
385	138	220
386	138	219
387	138	218
388	138	218
389	139	217
390	140	218
391	140	217
392	140	217
393	140	216
394	141	216
395	141	215
396	141	215
397	141	214
398	141	213
399	142	213
400	142	212
401	142	211
402	142	211
403	142	210
404	143	210
405	143	209
406	143	208
407	143	208
408	143	207
409	144	207
410	144	206
411	145	207
412	145	206
413	145	205
414	145	205
415	145	204
416	145	203
417	146	203
418	146	202
419	146	202
420	146	201
421	146	201
422	147	200
423	147	199
424	147	199
425	147	198
426	147	198
427	148	198
428	148	197
429	148	196
430	148	196
431	148	195
432	149	195
433	149	194
434	149	194
435	149	193
436	149	193
437	149	192
438	150	191
439	150	191
440	150	190
441	150	190
442	150	189
443	151	189
444	151	188
445	151	188
446	152	189
447	153	188
448	153	188
449	154	189
450	156	190
451	156	189
452	156	189
453	156	188
454	157	188
455	157	187
456	157	187
457	157	186
458	157	186
459	158	185
460	158	185
461	158	184
462	158	183
463	158	183
464	158	182
465	159	182
466	159	181
