iter	Passed	Remaining
0	46	46643
1	47	23492
2	47	15726
3	47	11848
4	47	9532
5	48	7972
6	48	6856
7	48	6016
8	48	5364
9	48	4842
10	49	4417
11	49	4062
12	49	3759
13	49	3499
14	49	3274
15	50	3076
16	50	2903
17	50	2750
18	50	2617
19	50	2493
20	51	2380
21	51	2277
22	51	2187
23	51	2101
24	51	2021
25	52	1949
26	52	1882
27	52	1819
28	52	1760
29	52	1705
30	52	1654
31	53	1605
32	53	1560
33	53	1518
34	53	1478
35	53	1440
36	53	1404
37	54	1370
38	54	1339
39	54	1308
40	54	1279
41	54	1252
42	55	1226
43	55	1203
44	55	1183
45	56	1162
46	56	1140
47	56	1118
48	58	1128
49	58	1108
50	58	1089
51	58	1070
52	59	1056
53	59	1038
54	59	1026
55	60	1026
56	61	1014
57	61	999
58	61	986
59	62	971
60	62	957
61	62	943
62	62	930
63	62	917
64	62	906
65	63	895
66	63	883
67	63	871
68	63	860
69	63	849
70	64	839
71	64	829
72	64	819
73	64	809
74	64	800
75	65	790
76	65	781
77	65	772
78	65	764
79	65	755
80	65	747
81	66	739
82	66	731
83	66	723
84	66	715
85	66	708
86	66	701
87	66	694
88	67	687
89	67	680
90	67	674
91	67	667
92	67	661
93	67	655
94	68	649
95	68	643
96	68	637
97	69	635
98	69	633
99	69	628
100	70	623
101	70	618
102	70	613
103	70	609
104	70	604
105	71	599
106	71	594
107	71	589
108	71	584
109	71	580
110	71	575
111	72	571
112	72	566
113	72	562
114	72	558
115	72	554
116	74	558
117	74	559
118	77	571
119	78	577
120	78	573
121	79	569
122	79	565
123	79	562
124	80	560
125	80	560
126	80	556
127	81	553
128	81	550
129	81	547
130	81	543
131	83	550
132	83	547
133	84	543
134	84	540
135	84	536
136	84	533
137	84	530
138	85	527
139	85	523
140	85	520
141	85	517
142	85	514
143	86	511
144	86	508
145	86	505
146	86	502
147	86	499
148	87	497
149	87	495
150	87	493
151	87	490
152	88	487
153	89	491
154	89	488
155	89	486
156	90	484
157	90	481
158	90	479
159	90	477
160	91	474
161	91	472
162	91	469
163	91	467
164	91	465
165	92	462
166	92	460
167	92	458
168	92	455
169	92	453
170	93	451
171	93	450
172	93	448
173	94	446
174	94	444
175	94	442
176	95	442
177	95	440
178	95	438
179	95	436
180	95	434
181	96	432
182	96	431
183	96	429
184	97	427
185	97	426
186	97	425
187	98	423
188	98	421
189	98	419
190	98	417
191	98	415
192	98	413
193	99	411
194	99	411
195	99	409
196	99	407
197	100	405
198	100	403
199	100	401
200	100	399
201	102	403
